id_ciudad_origen,id_ciudad_destino,capacidad,costo
ABOD,SOLEDAD,34.0,3400000.0
ABOD,TURBACO,4.5,1580000.0
ABOD,TURBACO,8.5,2190000.0
ABOD,TURBACO,17.0,2650000.0
ABOD,TURBACO,34.0,3400000.0
ABOD,TURBO,4.5,1715000.0
ABOD,TURBO,8.5,1815000.0
ABOD,TURBO,17.0,2135000.0
ABOD,TURBO,34.0,3200000.0
ABOD,TURBO-ANTIOQUIA,4.5,1715000.0
ABOD,TURBO-ANTIOQUIA,8.5,1815000.0
ABOD,TURBO-ANTIOQUIA,17.0,2135000.0
ABOD,TURBO-ANTIOQUIA,34.0,3200000.0
ABOD,VILLA DEL ROSARIO,4.5,1700000.0
ABOD,VILLA DEL ROSARIO,8.5,2065000.0
ABOD,VILLA DEL ROSARIO,17.0,3560000.0
ABOD,VILLA DEL ROSARIO,34.0,4130000.0
ABOD,VILLA RICA,4.5,1940000.0
ABOD,VILLA RICA,8.5,2290000.0
ABOD,VILLA RICA,17.0,3395000.0
ABOD,VILLA RICA,34.0,3560000.0
ABOD,VILLAVICENCIO,4.5,1135000.0
ABOD,VILLAVICENCIO,8.5,1580000.0
ABOD,VILLAVICENCIO,17.0,3000000.0
ABOD,VILLAVICENCIO,34.0,3500000.0
ABOD,YOPAL,4.5,1135000.0
ABOD,YOPAL,8.5,1580000.0
ABOD,YOPAL,17.0,2735000.0
ABOD,YOPAL,34.0,3150000.0
ABOD,ZF DEL PACIFICO,4.5,1465000.0
ABOD,ZF DEL PACIFICO,8.5,1600000.0
ABOD,ZF DEL PACIFICO,17.0,2610000.0
ABOD,ZF DEL PACIFICO,34.0,2890000.0
ABOD,ZONA FRANCA RIONEGRO ANTIOQUIA,1.0,64488.0
BBOD,ARMENIA,4.5,1135000.0
BBOD,ARMENIA,8.5,1540000.0
BBOD,ARMENIA,17.0,2800000.0
BBOD,ARMENIA,34.0,4220000.0
BBOD,BARRANCABERMEJA,4.5,1735000.0
BBOD,BARRANCABERMEJA,8.5,2045000.0
BBOD,BARRANCABERMEJA,17.0,3045000.0
BBOD,BARRANCABERMEJA,34.0,4645000.0
BBOD,BARRANQUILLA,4.5,1930000.0
BBOD,BARRANQUILLA,8.5,2270000.0
BBOD,BARRANQUILLA,17.0,3200000.0
BBOD,BARRANQUILLA,34.0,5025000.0
BBOD,BOGOTA,1.0,64488.0
BBOD,BUCARAMANGA,4.5,1160000.0
BBOD,BUCARAMANGA,8.5,1640000.0
BBOD,BUCARAMANGA,17.0,3075000.0
BBOD,BUCARAMANGA,34.0,4365000.0
BBOD,CAJICA,4.5,362628.0
BBOD,CALI,4.5,1135000.0
BBOD,CALI,8.5,1540000.0
BBOD,CALI,17.0,2840000.0
BBOD,CALI,34.0,4265000.0
BBOD,CALI/FUE/PERIM/URB,4.5,1135000.0
BBOD,CALI/FUE/PERIM/URB,8.5,1540000.0
BBOD,CALI/FUE/PERIM/URB,17.0,2840000.0
BBOD,CALI/FUE/PERIM/URB,34.0,4265000.0
BBOD,CALOTO,4.5,1990000.0
BBOD,CALOTO,8.5,2230000.0
BBOD,CALOTO,17.0,3075000.0
BBOD,CALOTO,34.0,4695000.0
BBOD,CARTAGENA,4.5,1930000.0
BBOD,CARTAGENA,8.5,2270000.0
BBOD,CARTAGENA,17.0,3200000.0
BBOD,CARTAGENA,34.0,5025000.0
BBOD,CHIA,4.5,362628.0
BBOD,CIENAGA,4.5,1930000.0
BBOD,CIENAGA,8.5,2270000.0
BBOD,CIENAGA,17.0,3200000.0
BBOD,CIENAGA,34.0,5025000.0
BBOD,COTA,4.5,80584.0
BBOD,CUCUTA,4.5,1880000.0
BBOD,CUCUTA,8.5,2250000.0
BBOD,CUCUTA,17.0,3150000.0
BBOD,CUCUTA,34.0,4880000.0
BBOD,EJE CAFETERO,4.5,1135000.0
BBOD,EJE CAFETERO,8.5,1540000.0
BBOD,EJE CAFETERO,17.0,2800000.0
BBOD,EJE CAFETERO,34.0,4220000.0
BBOD,FACATATIVA,4.5,450000.0
