,tiempo,producto,transporte,origen,destino,costo,valor_decision
78,1,ADITIVOS,4.5,CBOD,CARTAGENA,2425000.0,0.0
79,1,ADITIVOS,8.5,CBOD,CARTAGENA,2990000.0,0.0
80,1,ADITIVOS,17.0,CBOD,CARTAGENA,4750000.0,0.0
81,1,ADITIVOS,34.0,CBOD,CARTAGENA,6190000.0,0.0
82,1,ADITIVOS,4.5,CBOD,GINEBRA,376092.0,0.0
83,1,ADITIVOS,8.5,CBOD,GINEBRA,501662.0,0.0
84,1,ADITIVOS,4.5,CBOD,GUACHENE,483345.0,0.0
85,1,ADITIVOS,8.5,CBOD,GUACHENE,558671.0,0.4117647058823529
86,1,ADITIVOS,4.5,CBOD,MANIZALES,805577.0,0.0
87,1,ADITIVOS,8.5,CBOD,MANIZALES,1166447.0,0.0
88,1,ADITIVOS,4.5,CBOD,MEDELLIN,1085000.0,0.0
89,1,ADITIVOS,8.5,CBOD,MEDELLIN,1495000.0,0.0
90,1,ADITIVOS,17.0,CBOD,MEDELLIN,3400000.0,0.0
91,1,ADITIVOS,34.0,CBOD,MEDELLIN,4390000.0,0.0
92,1,ADITIVOS,1.0,CBOD,PALMIRA,64488.0,0.075
93,1,ADITIVOS,4.5,CBOD,PEREIRA,805577.0,0.0
94,1,ADITIVOS,8.5,CBOD,PEREIRA,1166447.0,0.0
95,1,ADITIVOS,4.5,BBOD,BARRANQUILLA,1930000.0,0.0
96,1,ADITIVOS,8.5,BBOD,BARRANQUILLA,2270000.0,0.0
97,1,ADITIVOS,17.0,BBOD,BARRANQUILLA,3200000.0,0.0
98,1,ADITIVOS,34.0,BBOD,BARRANQUILLA,5025000.0,0.0
99,1,ADITIVOS,1.0,BBOD,BOGOTA,64488.0,0.0
100,1,ADITIVOS,4.5,BBOD,BUCARAMANGA,1160000.0,0.0
101,1,ADITIVOS,8.5,BBOD,BUCARAMANGA,1640000.0,0.0
102,1,ADITIVOS,17.0,BBOD,BUCARAMANGA,3075000.0,0.0
103,1,ADITIVOS,34.0,BBOD,BUCARAMANGA,4365000.0,0.0
104,1,ADITIVOS,4.5,BBOD,CALI,1135000.0,0.0
105,1,ADITIVOS,8.5,BBOD,CALI,1540000.0,0.0
106,1,ADITIVOS,17.0,BBOD,CALI,2840000.0,0.0
107,1,ADITIVOS,34.0,BBOD,CALI,4265000.0,0.0
108,1,ADITIVOS,4.5,BBOD,CARTAGENA,1930000.0,0.0
109,1,ADITIVOS,8.5,BBOD,CARTAGENA,2270000.0,0.0
110,1,ADITIVOS,17.0,BBOD,CARTAGENA,3200000.0,0.0
111,1,ADITIVOS,34.0,BBOD,CARTAGENA,5025000.0,0.0
112,1,ADITIVOS,4.5,BBOD,COTA,80584.0,0.022222222222222223
113,1,ADITIVOS,1.0,BBOD,FUNZA,80584.0,0.025
114,1,ADITIVOS,4.5,BBOD,MANIZALES,1135000.0,0.0
115,1,ADITIVOS,8.5,BBOD,MANIZALES,1540000.0,0.0
116,1,ADITIVOS,17.0,BBOD,MANIZALES,2800000.0,0.0
117,1,ADITIVOS,34.0,BBOD,MANIZALES,4220000.0,0.0
118,1,ADITIVOS,4.5,BBOD,MEDELLIN,1160000.0,0.0
119,1,ADITIVOS,8.5,BBOD,MEDELLIN,1580000.0,0.0
120,1,ADITIVOS,17.0,BBOD,MEDELLIN,2950000.0,0.0
121,1,ADITIVOS,34.0,BBOD,MEDELLIN,4365000.0,0.0
122,1,ADITIVOS,4.5,BBOD,PEREIRA,1135000.0,0.0
123,1,ADITIVOS,8.5,BBOD,PEREIRA,1540000.0,0.0
124,1,ADITIVOS,17.0,BBOD,PEREIRA,2800000.0,0.0
125,1,ADITIVOS,34.0,BBOD,PEREIRA,4220000.0,0.0
126,1,ADITIVOS,1.0,BBOD,SOACHA,80584.0,4.6
127,1,ADITIVOS,4.5,BBOD,TOCANCIPA,80584.0,0.0
128,1,ADITIVOS,4.5,BBOD,ZIPAQUIRA,80584.0,0.16666666666666666
129,1,ADITIVOS,40.0,CGNA_PORT,ALTAMIRA,1868195.7,0.20625
130,1,ADITIVOS,40.0,CGNA_PORT,GUAYAQUIL,2398098.0,0.18625
131,1,ADITIVOS,40.0,CGNA_PORT,HAINA,3016962.0,0.28375
132,1,ADITIVOS,40.0,CGNA_PORT,LIMA,2056433.5,0.075
133,1,ADITIVOS,40.0,CGNA_PORT,MIXCO,5193300.4,0.2125
134,1,ADITIVOS,40.0,CGNA_PORT,SANTO DOMINGO,3016962.0,0.175
135,1,ADITIVOS,1.0,MB_PLANT,BARRANQUILLA,80000.0,4.375
136,1,ADITIVOS,1.0,MB_PLANT,BOGOTA,166400.0,15.2
137,1,ADITIVOS,1.0,MB_PLANT,BUCARAMANGA,97059.0,0.35
138,1,ADITIVOS,1.0,MB_PLANT,CALI,173000.0,0.525
139,1,ADITIVOS,1.0,MB_PLANT,CARTAGENA,1000.0,53.7
140,1,ADITIVOS,1.0,MB_PLANT,GINEBRA,160000.0,0.425
141,1,ADITIVOS,1.0,MB_PLANT,MEDELLIN,153600.0,11.025
142,1,ADITIVOS,1.0,MB_PLANT,PEREIRA,176380.0,0.15
143,1,ADITIVOS,1.0,MB_PLANT,TOCANCIPA,160000.0,0.025
144,1,ADITIVOS,,CGNA_CEDI_ALMACENAMIENTO,CGNA_CEDI_ALMACENAMIENTO,17602.5,0.0
145,1,ADITIVOS,,ABOD_ALMACENAMIENTO,ABOD_ALMACENAMIENTO,30129.0,0.0
146,1,ADITIVOS,,BBOD_ALMACENAMIENTO,BBOD_ALMACENAMIENTO,30129.0,0.0
147,1,ADITIVOS,,CBOD_ALMACENAMIENTO,CBOD_ALMACENAMIENTO,30129.0,0.0
148,1,ADITIVOS,,CGNA_PLANT_ALMACENAMIENTO,CGNA_PLANT_ALMACENAMIENTO,0.0,0.0
149,1,ADITIVOS,,MB_PLANT_ALMACENAMIENTO,MB_PLANT_ALMACENAMIENTO,0.0,0.0
150,1,ANTIFIBRILANTES,4.5,BUEN_PORT,CGNA_PLANT,2425000.0,0.0
151,1,ANTIFIBRILANTES,8.5,BUEN_PORT,CGNA_PLANT,2990000.0,0.0
152,1,ANTIFIBRILANTES,17.0,BUEN_PORT,CGNA_PLANT,4750000.0,0.0
153,1,ANTIFIBRILANTES,34.0,BUEN_PORT,CGNA_PLANT,6190000.0,0.0
154,1,ANTIFIBRILANTES,4.5,BUEN_PORT,ABOD,1085000.0,0.0
155,1,ANTIFIBRILANTES,8.5,BUEN_PORT,ABOD,1495000.0,0.0
156,1,ANTIFIBRILANTES,17.0,BUEN_PORT,ABOD,3400000.0,0.0
157,1,ANTIFIBRILANTES,34.0,BUEN_PORT,ABOD,4390000.0,0.0
158,1,ANTIFIBRILANTES,1.0,BUEN_PORT,CBOD,64488.0,0.0
159,1,ANTIFIBRILANTES,4.5,BUEN_PORT,BBOD,1085000.0,0.0
160,1,ANTIFIBRILANTES,8.5,BUEN_PORT,BBOD,1495000.0,0.0
161,1,ANTIFIBRILANTES,17.0,BUEN_PORT,BBOD,3180000.0,0.0
162,1,ANTIFIBRILANTES,34.0,BUEN_PORT,BBOD,4390000.0,0.0
163,1,ANTIFIBRILANTES,4.5,BUEN_PORT,CGNA_CEDI,2425000.0,0.0
164,1,ANTIFIBRILANTES,8.5,BUEN_PORT,CGNA_CEDI,2990000.0,0.0
165,1,ANTIFIBRILANTES,17.0,BUEN_PORT,CGNA_CEDI,4750000.0,0.0
166,1,ANTIFIBRILANTES,34.0,BUEN_PORT,CGNA_CEDI,6190000.0,0.0
