,mes,id_ciudad_origen,id_ciudad_destino,sku,cantidad,familia,capacidad,costo,conteo,tasa_util
0,2,CGNA_CEDI,BOGOTA,100787.0,0.05,,,,,
1,2,CGNA_CEDI,BOGOTA,100787.0,0.05,,,,,
2,1,CBOD,ENVIGADO,,0.225,ADITIVOS,,,,
3,1,CGNA_CEDI,COTA,,0.1,ADITIVOS,,,,
4,1,CGNA_CEDI,GUACHENE,,3.5,ADITIVOS,,,,
5,1,CGNA_CEDI,MANIZALES,,1.3,ADITIVOS,,,,
6,1,CGNA_CEDI,PALMIRA,,0.07500000000000001,ADITIVOS,,,,
7,1,CGNA_CEDI,SOACHA,,4.6000000000000005,ADITIVOS,,,,
8,1,CGNA_CEDI,ZIPAQUIRA,,0.75,ADITIVOS,,,,
9,1,CGNA_CEDI,ENVIGADO,,0.5,ANTIFIBRILANTES,,,,
10,1,CGNA_CEDI,FUNZA,,0.4,ANTIFIBRILANTES,,,,
11,1,CGNA_CEDI,GIRON,,0.4,ANTIFIBRILANTES,,,,
12,1,CGNA_CEDI,LA ESTRELLA,,0.3,ANTIFIBRILANTES,,,,
13,1,CGNA_CEDI,MANIZALES,,0.025,ANTIFIBRILANTES,,,,
14,1,CGNA_CEDI,YUMBO,,0.225,ANTIFIBRILANTES,,,,
15,1,CGNA_CEDI,ZIPAQUIRA,,2.5,ANTIFIBRILANTES,,,,
16,1,BBOD,GIRARDOTA,,6.0,AYUDAS DE PROCESO,,,,
17,1,CGNA_CEDI,ARMENIA,,1.325,AYUDAS DE PROCESO,,,,
18,1,CGNA_CEDI,COTA,,4.0,AYUDAS DE PROCESO,,,,
19,1,CGNA_CEDI,GIRARDOTA,,20.349999999999998,AYUDAS DE PROCESO,,,,
20,1,CGNA_CEDI,GUARNE,,0.1,AYUDAS DE PROCESO,,,,
21,1,CGNA_CEDI,ITAGUI,,0.475,AYUDAS DE PROCESO,,,,
22,1,CGNA_CEDI,LA ESTRELLA,,13.75,AYUDAS DE PROCESO,,,,
23,1,CGNA_CEDI,LOS PATIOS,,8.0,AYUDAS DE PROCESO,,,,
24,1,CGNA_CEDI,SABANETA,,1.0,AYUDAS DE PROCESO,,,,
25,1,CGNA_CEDI,ITAGUI,,0.05,COMPUESTOS FLEXIBLES,,,,
26,1,BBOD,BOGOTA-DISTRITO CAPITAL,,0.6,COPOLIMERO IMPACTO,,,,
27,1,CGNA_CEDI,BELEN,,12.0,COPOLIMERO IMPACTO,,,,
28,1,CGNA_CEDI,BOGOTA-DISTRITO CAPITAL,,6.4,COPOLIMERO IMPACTO,,,,
29,1,CGNA_CEDI,COPACABANA,,36.5,COPOLIMERO IMPACTO,,,,
30,1,CGNA_CEDI,COTA,,22.5,COPOLIMERO IMPACTO,,,,
31,1,CGNA_CEDI,COTA,,3.0,COPOLIMERO IMPACTO,,,,
32,1,CGNA_CEDI,ENVIGADO,,4.025,COPOLIMERO IMPACTO,,,,
33,1,CGNA_CEDI,FUNZA,,10.0,COPOLIMERO IMPACTO,,,,
34,1,CGNA_CEDI,FUNZA,,17.0,COPOLIMERO IMPACTO,,,,
35,1,CGNA_CEDI,GIRON,,0.025,COPOLIMERO IMPACTO,,,,
36,1,CGNA_CEDI,GUACHENE,,23.0,COPOLIMERO IMPACTO,,,,
37,1,CGNA_CEDI,ITAGUI,,1.0,COPOLIMERO IMPACTO,,,,
38,1,CGNA_CEDI,LA ESTRELLA,,84.0,COPOLIMERO IMPACTO,,,,
39,1,CGNA_CEDI,MADRID,,16.5,COPOLIMERO IMPACTO,,,,
40,1,CGNA_CEDI,MANIZALES,,18.8,COPOLIMERO IMPACTO,,,,
41,1,CGNA_CEDI,MOSQUERA,,3.025,COPOLIMERO IMPACTO,,,,
42,1,CGNA_CEDI,PALMIRA,,9.0,COPOLIMERO IMPACTO,,,,
43,1,CGNA_CEDI,SOACHA,,0.5,COPOLIMERO IMPACTO,,,,
44,1,CGNA_CEDI,TABIO,,3.0,COPOLIMERO IMPACTO,,,,
45,1,CGNA_CEDI,TENJO,,10.0,COPOLIMERO IMPACTO,,,,
46,1,CGNA_CEDI,VILLA RICA,,16.0,COPOLIMERO IMPACTO,,,,
47,1,CGNA_CEDI,YUMBO,,27.224999999999998,COPOLIMERO IMPACTO,,,,
48,1,CGNA_CEDI,ZIPAQUIRA,,14.0,COPOLIMERO IMPACTO,,,,
49,1,CGNA_CEDI,ZONA FRANCA RIONEGRO ANTIOQUIA,,17.799999999999997,COPOLIMERO IMPACTO,,,,
50,1,BBOD,BOGOTA-DISTRITO CAPITAL,,0.475,COPOLIMERO RANDOM,,,,
51,1,CGNA_CEDI,BELEN,,21.0,COPOLIMERO RANDOM,,,,
52,1,CGNA_CEDI,COPACABANA,,3.0,COPOLIMERO RANDOM,,,,
53,1,CGNA_CEDI,COTA,,8.5,COPOLIMERO RANDOM,,,,
54,1,CGNA_CEDI,DOSQUEBRADAS,,0.5,COPOLIMERO RANDOM,,,,
55,1,CGNA_CEDI,ENVIGADO,,23.0,COPOLIMERO RANDOM,,,,
56,1,CGNA_CEDI,FUNZA,,8.025,COPOLIMERO RANDOM,,,,
57,1,CGNA_CEDI,GUACHENE,,4.0,COPOLIMERO RANDOM,,,,
58,1,CGNA_CEDI,GUACHENE,,10.0,COPOLIMERO RANDOM,,,,
59,1,CGNA_CEDI,ITAGUI,,80.65,COPOLIMERO RANDOM,,,,
60,1,CGNA_CEDI,LA ESTRELLA,,79.5,COPOLIMERO RANDOM,,,,
61,1,CGNA_CEDI,MADRID,,14.0,COPOLIMERO RANDOM,,,,
62,1,CGNA_CEDI,MANIZALES,,19.575000000000003,COPOLIMERO RANDOM,,,,
63,1,CGNA_CEDI,MARINILLA,,7.0,COPOLIMERO RANDOM,,,,
64,1,CGNA_CEDI,SABANETA,,34.0,COPOLIMERO RANDOM,,,,
65,1,CGNA_CEDI,SOACHA,,76.5,COPOLIMERO RANDOM,,,,
66,1,CGNA_CEDI,SOLEDAD,,7.0,COPOLIMERO RANDOM,,,,
67,1,CGNA_CEDI,TULUA,,2.5,COPOLIMERO RANDOM,,,,
68,1,CGNA_CEDI,VILLA RICA,,20.0,COPOLIMERO RANDOM,,,,
69,1,CGNA_CEDI,YUMBO,,29.0,COPOLIMERO RANDOM,,,,
70,1,CGNA_CEDI,ARMENIA,,10.0,HDPE HMW BIMODAL,,,,
71,1,CGNA_CEDI,LOS PATIOS,,19.0,HDPE HMW BIMODAL,,,,
72,1,CGNA_CEDI,MAGANGUE,,3.0,HDPE HMW BIMODAL,,,,
73,1,CGNA_CEDI,MOSQUERA,,78.5,HDPE HMW BIMODAL,,,,
74,1,CGNA_CEDI,PIEDECUESTA,,3.0,HDPE HMW BIMODAL,,,,
75,1,CGNA_CEDI,CANDELARIA,,1.0,HDPE INYEC M.I.17-20,,,,
76,1,CGNA_CEDI,PALMIRA,,0.5,HDPE INYEC M.I.17-20,,,,
77,1,CGNA_CEDI,FACATATIVA,,0.05,HDPE INYEC(M.I.6-10),,,,
78,1,CGNA_CEDI,BOGOTA-DISTRITO CAPITAL,,10.0,HDPE SOPLADO,,,,
79,1,CGNA_CEDI,FUNZA,,16.0,HDPE SOPLADO FORMOLE,,,,
80,1,CBOD,MADRID,,9.975,HOMOPOLIMERO,,,,
81,1,CGNA_CEDI,BOGOTA-DISTRITO CAPITAL,,1.0,HOMOPOLIMERO,,,,
82,1,CGNA_CEDI,BELEN,,9.0,HOMOPOLIMERO,,,,
83,1,CGNA_CEDI,BOGOTA-DISTRITO CAPITAL,,5.0,HOMOPOLIMERO,,,,
84,1,CGNA_CEDI,CAJICA,,71.0,HOMOPOLIMERO,,,,
85,1,CGNA_CEDI,CHIA,,60.0,HOMOPOLIMERO,,,,
86,1,CGNA_CEDI,CIENAGA,,15.0,HOMOPOLIMERO,,,,
87,1,CGNA_CEDI,COPACABANA,,3.9,HOMOPOLIMERO,,,,
88,1,CGNA_CEDI,COTA,,46.3,HOMOPOLIMERO,,,,
89,1,CGNA_CEDI,DOSQUEBRADAS,,5.0,HOMOPOLIMERO,,,,
90,1,CGNA_CEDI,DOSQUEBRADAS,,13.0,HOMOPOLIMERO,,,,
91,1,CGNA_CEDI,ENVIGADO,,15.0,HOMOPOLIMERO,,,,
92,1,CGNA_CEDI,FUNZA,,193.99999999999997,HOMOPOLIMERO,,,,
93,1,CGNA_CEDI,FUNZA,,221.0,HOMOPOLIMERO,,,,
94,1,CGNA_CEDI,GALAPA,,7.0,HOMOPOLIMERO,,,,
95,1,CGNA_CEDI,GIRON,,2.025,HOMOPOLIMERO,,,,
96,1,CGNA_CEDI,GUACHENE,,12.0,HOMOPOLIMERO,,,,
97,1,CGNA_CEDI,GUARNE,,10.0,HOMOPOLIMERO,,,,
98,1,CGNA_CEDI,GUACHENE,,68.0,HOMOPOLIMERO,,,,
99,1,CGNA_CEDI,ITAGUI,,400.5,HOMOPOLIMERO,,,,
100,1,CGNA_CEDI,LA ESTRELLA,,206.725,HOMOPOLIMERO,,,,
101,1,CGNA_CEDI,MADRID,,26.4,HOMOPOLIMERO,,,,
102,1,CGNA_CEDI,MANIZALES,,122.02499999999999,HOMOPOLIMERO,,,,
103,1,CGNA_CEDI,MOSQUERA,,54.0,HOMOPOLIMERO,,,,
104,1,CGNA_CEDI,MADRID,,45.025,HOMOPOLIMERO,,,,
105,1,CGNA_CEDI,PALMIRA,,3657.6000000000063,HOMOPOLIMERO,,,,
106,1,CGNA_CEDI,SABANETA,,3.0,HOMOPOLIMERO,,,,
107,1,CGNA_CEDI,SOACHA,,64.0,HOMOPOLIMERO,,,,
108,1,CGNA_CEDI,SOLEDAD,,1.0,HOMOPOLIMERO,,,,
109,1,CGNA_CEDI,TENJO,,12.475,HOMOPOLIMERO,,,,
110,1,CGNA_CEDI,TULUA,,0.5,HOMOPOLIMERO,,,,
111,1,CGNA_CEDI,VILLA RICA,,3.0,HOMOPOLIMERO,,,,
112,1,CGNA_CEDI,YUMBO,,32.95,HOMOPOLIMERO,,,,
113,1,CGNA_CEDI,ZIPAQUIRA,,146.0,HOMOPOLIMERO,,,,
114,1,BBOD,BOGOTA-DISTRITO CAPITAL,,15.6,LDPE POLIFEN 641,,,,
115,1,CGNA_CEDI,LOS PATIOS,,1.5,LDPE POLIFEN 641,,,,
116,1,CGNA_CEDI,MAGANGUE,,13.0,LDPE POLIFEN 641,,,,
117,1,CGNA_CEDI,PIEDECUESTA,,10.55,LDPE POLIFEN 641,,,,
118,1,CGNA_CEDI,SOLEDAD,,1.0,LDPE POLIFEN 641,,,,
119,1,CGNA_CEDI,MAGANGUE,,6.0,LDPE USO GENERAL,,,,
120,1,BBOD,BOGOTA-DISTRITO CAPITAL,,2.3,LLDPE BUT (M.I. 1)CA,,,,
121,1,CGNA_CEDI,FUNZA,,3.0,LLDPE BUT (M.I. 1)CA,,,,
122,1,CGNA_CEDI,MAGANGUE,,3.0,LLDPE BUT (M.I. 1)CA,,,,
123,1,CGNA_CEDI,PIEDECUESTA,,1.0,LLDPE BUT (M.I. 1)CA,,,,
124,1,CGNA_CEDI,CANDELARIA,,0.5,LLDPE INYECCION,,,,
125,1,CGNA_CEDI,LA ESTRELLA,,1.0,LLDPE INYECCION,,,,
126,1,CGNA_CEDI,YUMBO,,0.025,LLDPE INYECCION,,,,
127,1,CGNA_CEDI,COTA,,4.2,MASTERB. BLANCO B.PE,,,,
128,1,CGNA_CEDI,DOSQUEBRADAS,,0.2,MASTERB. BLANCO B.PE,,,,
129,1,CGNA_CEDI,GALAPA,,0.5,MASTERB. BLANCO B.PE,,,,
130,1,CGNA_CEDI,GUACHENE,,25.0,MASTERB. BLANCO B.PE,,,,
131,1,CGNA_CEDI,ITAGUI,,2.6,MASTERB. BLANCO B.PE,,,,
132,1,CGNA_CEDI,LA ESTRELLA,,0.3,MASTERB. BLANCO B.PE,,,,
133,1,CGNA_CEDI,LOS PATIOS,,0.44999999999999996,MASTERB. BLANCO B.PE,,,,
134,1,CGNA_CEDI,MADRID,,0.1,MASTERB. BLANCO B.PE,,,,
135,1,CGNA_CEDI,MIRANDA,,0.025,MASTERB. BLANCO B.PE,,,,
136,1,CGNA_CEDI,PUERTO TEJADA,,0.05,MASTERB. BLANCO B.PE,,,,
137,1,CGNA_CEDI,SOACHA,,1.1,MASTERB. BLANCO B.PE,,,,
138,1,CGNA_CEDI,YUMBO,,0.05,MASTERB. BLANCO B.PE,,,,
139,1,CGNA_CEDI,CHIA,,0.30000000000000004,MASTERB. BLANCO B.PP,,,,
140,1,CGNA_CEDI,MADRID,,0.075,MASTERB. BLANCO B.PP,,,,
141,1,CGNA_CEDI,MANIZALES,,0.07500000000000001,MASTERB. BLANCO B.PP,,,,
142,1,CGNA_CEDI,SOACHA,,0.5,MASTERB. BLANCO B.PP,,,,
143,1,CGNA_CEDI,COPACABANA,,9.700000000000001,MASTERB. BLANCO B.PS,,,,
144,1,CGNA_CEDI,FUNZA,,2.6500000000000004,MASTERB. BLANCO B.PS,,,,
145,1,CGNA_CEDI,ITAGUI,,0.1,MASTERB. BLANCO B.PS,,,,
146,1,BBOD,BOGOTA-DISTRITO CAPITAL,,0.3,MASTERB. NEGRO B.PE,,,,
147,1,CGNA_CEDI,BOGOTA-DISTRITO CAPITAL,,2.0,MASTERB. NEGRO B.PE,,,,
148,1,CGNA_CEDI,CAJICA,,1.5,MASTERB. NEGRO B.PE,,,,
149,1,CGNA_CEDI,COTA,,46.125,MASTERB. NEGRO B.PE,,,,
150,1,CGNA_CEDI,DOSQUEBRADAS,,0.6,MASTERB. NEGRO B.PE,,,,
151,1,CGNA_CEDI,FUNZA,,0.22499999999999998,MASTERB. NEGRO B.PE,,,,
