,mes,familia,id_ciudad_origen,id_ciudad_destino,cantidad,Unnamed: 0,capacidad,costo,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1896,8,HOMOPOLIMERO,CGNA_PORT,PALMIRA,2141.999,,,,,,,
1901,8,HOMOPOLIMERO,CGNA_PORT,PUERTO TEJADA,67.5,,,,,,,
1909,8,HOMOPOLIMERO,CGNA_PORT,RIONEGRO,136.0,,,,,,,
1926,8,HOMOPOLIMERO,CGNA_PORT,VILLA RICA,2.0,,,,,,,
1932,8,LDPE POLIFEN 641,CGNA_PORT,VILLA RICA,1.0,,,,,,,
1936,8,MASTERB. BLANCO B.PE,CGNA_PORT,BOGOTA,0.25,,,,,,,
1937,8,MASTERB. BLANCO B.PE,CGNA_PORT,CALOTO,0.1,,,,,,,
1939,8,MASTERB. BLANCO B.PE,CGNA_PORT,PALMIRA,0.025,,,,,,,
1940,8,MASTERB. BLANCO B.PE,CGNA_PORT,RIONEGRO,3.0,,,,,,,
1942,8,MASTERB. BLANCO B.PE,CGNA_PORT,TOCANCIPA,0.125,,,,,,,
1943,8,MASTERB. BLANCO B.PE,CGNA_PORT,VILLA RICA,1.9999999999999998,,,,,,,
1944,8,MASTERB. BLANCO B.PP,CGNA_PORT,CARTAGENA,3.5,,,,,,,
1946,8,MASTERB. BLANCO B.PP,CGNA_PORT,PALMIRA,6.0,,,,,,,
1948,8,MASTERB. NEGRO B.PE,CGNA_PORT,FUNZA,9.875,,,,,,,
1950,8,MASTERB. NEGRO B.PE,CGNA_PORT,PALMIRA,0.25,,,,,,,
1951,8,MASTERB. NEGRO B.PE,CGNA_PORT,TOCANCIPA,0.7250000000000001,,,,,,,
1952,8,MASTERB. NEGRO B.PP,CGNA_PORT,VILLA RICA,3.0,,,,,,,
1953,8,MASTERBATCH DE COLOR,CGNA_PORT,BOGOTA,1.155,,,,,,,
1954,8,MASTERBATCH DE COLOR,CGNA_PORT,CALOTO,1.125,,,,,,,
1955,8,MASTERBATCH DE COLOR,CGNA_PORT,FUNZA,0.9500000000000001,,,,,,,
1958,8,MASTERBATCH DE COLOR,CGNA_PORT,TOCANCIPA,1.113,,,,,,,
1962,8,OTROS COMPUESTOS,CGNA_PORT,PUERTO TEJADA,0.004,,,,,,,
1966,8,PP REF.FIBRA  VIDRIO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,2.55,,,,,,,
1967,8,RESINAS GRANULAR,CGNA_PORT,CARTAGENA,112.96,,,,,,,
1979,9,COMPUESTOS FLEXIBLES,CGNA_PORT,BOGOTA,0.175,,,,,,,
1984,9,COPOLIMERO IMPACTO,CGNA_PORT,BOGOTA,43.0,,,,,,,
1990,9,COPOLIMERO IMPACTO,CGNA_PORT,CARTAGENA,50.625,,,,,,,
2008,9,COPOLIMERO IMPACTO,CGNA_PORT,MIRANDA,27.0,,,,,,,
2009,9,COPOLIMERO IMPACTO,CGNA_PORT,"MOCOCHA, YUCATAN",24.0,,,,,,,
2014,9,COPOLIMERO IMPACTO,CGNA_PORT,PALMIRA,14.0,,,,,,,
2028,9,COPOLIMERO IMPACTO,CGNA_PORT,TOCANCIPA,170.0,,,,,,,
2031,9,COPOLIMERO IMPACTO,CGNA_PORT,VILLA RICA,35.0,,,,,,,
2033,9,COPOLIMERO IMPACTO,CGNA_PORT,ZIPAQUIRA,0.925,,,,,,,
2034,9,COPOLIMERO IMPACTO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,5.0,,,,,,,
2038,9,COPOLIMERO RANDOM,CGNA_PORT,BOGOTA,24.0,,,,,,,
2041,9,COPOLIMERO RANDOM,CGNA_PORT,CALOTO,10.0,,,,,,,
2044,9,COPOLIMERO RANDOM,CGNA_PORT,"CANADA, L6T 552",0.8,,,,,,,
2046,9,COPOLIMERO RANDOM,CGNA_PORT,CARTAGENA,96.5,,,,,,,
2064,9,COPOLIMERO RANDOM,CGNA_PORT,PALMIRA,85.8,,,,,,,
2088,9,HDPE INYEC(M.I.6-10),CGNA_PORT,VIA LA SOFIA,19.85,,,,,,,
2091,9,HOMOPOLIMERO,CGNA_PORT,APARTADO,0.175,,,,,,,
2096,9,HOMOPOLIMERO,CGNA_PORT,BOGOTA,6.0,,,,,,,
2107,9,HOMOPOLIMERO,CGNA_PORT,CARTAGENA,673.575,,,,,,,
2108,9,HOMOPOLIMERO,CGNA_PORT,CARTAGO,144.0,,,,,,,
2120,9,HOMOPOLIMERO,CGNA_PORT,GUACHENE,34.0,,,,,,,
2122,9,HOMOPOLIMERO,CGNA_PORT,GUARNE,21.0,,,,,,,
2139,9,HOMOPOLIMERO,CGNA_PORT,PALMIRA,1740.0,,,,,,,
2149,9,HOMOPOLIMERO,CGNA_PORT,RIONEGRO,68.0,,,,,,,
2167,9,HOMOPOLIMERO,CGNA_PORT,VILLA RICA,4.0,,,,,,,
2170,9,LDPE POLIFEN 641,CGNA_PORT,CARTAGENA,33.0,,,,,,,
2173,9,LDPE POLIFEN 641,CGNA_PORT,VILLA RICA,1.0,,,,,,,
2174,9,MASTERB. BLANCO B.PE,CGNA_PORT,BOGOTA,0.22499999999999998,,,,,,,
2179,9,MASTERB. BLANCO B.PE,CGNA_PORT,PALMIRA,0.025,,,,,,,
2181,9,MASTERB. BLANCO B.PE,CGNA_PORT,TOCANCIPA,0.2,,,,,,,
2182,9,MASTERB. BLANCO B.PP,CGNA_PORT,CARTAGENA,2.0,,,,,,,
2184,9,MASTERB. BLANCO B.PP,CGNA_PORT,PALMIRA,6.0,,,,,,,
2188,9,MASTERB. NEGRO B.PE,CGNA_PORT,BOGOTA,0.025,,,,,,,
2192,9,MASTERB. NEGRO B.PE,CGNA_PORT,TOCANCIPA,0.275,,,,,,,
2194,9,MASTERB. NEGRO B.PP,CGNA_PORT,GUACHENE,2.0,,,,,,,
2195,9,MASTERB. NEGRO B.PP,CGNA_PORT,VILLA RICA,3.0,,,,,,,
2196,9,MASTERBATCH DE COLOR,CGNA_PORT,BOGOTA,1.7559999999999998,,,,,,,
2197,9,MASTERBATCH DE COLOR,CGNA_PORT,FUNZA,0.125,,,,,,,
2200,9,MASTERBATCH DE COLOR,CGNA_PORT,TOCANCIPA,0.1,,,,,,,
2207,9,OTROS COMPUESTOS,CGNA_PORT,POINT LISAS,0.006,,,,,,,
2216,9,RESINAS GRANULAR,CGNA_PORT,CARTAGENA,27.076000000000004,,,,,,,
2219,10,ADITIVOS,CGNA_PORT,GUACHENE,2.2,,,,,,,
2235,10,COMPUESTOS FLEXIBLES,CGNA_PORT,BOGOTA,0.075,,,,,,,
2241,10,COPOLIMERO IMPACTO,CGNA_PORT,BOGOTA,60.0,,,,,,,
2248,10,COPOLIMERO IMPACTO,CGNA_PORT,CARTAGENA,63.4,,,,,,,
2253,10,COPOLIMERO IMPACTO,CGNA_PORT,"DE CAGUA,EDO.ARAGUA",14.0,,,,,,,
2263,10,COPOLIMERO IMPACTO,CGNA_PORT,MIRANDA,27.0,,,,,,,
2264,10,COPOLIMERO IMPACTO,CGNA_PORT,"MOCOCHA, YUCATAN",24.0,,,,,,,
2268,10,COPOLIMERO IMPACTO,CGNA_PORT,PALMIRA,14.0,,,,,,,
2275,10,COPOLIMERO IMPACTO,CGNA_PORT,RIONEGRO,34.0,,,,,,,
2281,10,COPOLIMERO IMPACTO,CGNA_PORT,TOCANCIPA,101.15,,,,,,,
2284,10,COPOLIMERO IMPACTO,CGNA_PORT,VILLA RICA,115.0,,,,,,,
2286,10,COPOLIMERO IMPACTO,CGNA_PORT,ZIPAQUIRA,32.0,,,,,,,
2287,10,COPOLIMERO IMPACTO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,3.875,,,,,,,
2290,10,COPOLIMERO RANDOM,CGNA_PORT,BOGOTA,3.0,,,,,,,
2294,10,COPOLIMERO RANDOM,CGNA_PORT,CALOTO,15.0,,,,,,,
2295,10,COPOLIMERO RANDOM,CGNA_PORT,CARTAGENA,160.5,,,,,,,
2301,10,COPOLIMERO RANDOM,CGNA_PORT,GUACHENE,3.0,,,,,,,
2313,10,COPOLIMERO RANDOM,CGNA_PORT,LUDWIGSHAFEN,1.375,,,,,,,
2319,10,COPOLIMERO RANDOM,CGNA_PORT,PALMIRA,70.8,,,,,,,
2323,10,COPOLIMERO RANDOM,CGNA_PORT,RIONEGRO,136.0,,,,,,,
2330,10,COPOLIMERO RANDOM,CGNA_PORT,VILLA RICA,34.0,,,,,,,
2335,10,HDPE INYEC M.I.17-20,CGNA_PORT,BOGOTA,0.025,,,,,,,
2348,10,HOMOPOLIMERO,CGNA_PORT,CALOTO,15.0,,,,,,,
2351,10,HOMOPOLIMERO,CGNA_PORT,CARTAGENA,593.35,,,,,,,
2352,10,HOMOPOLIMERO,CGNA_PORT,CARTAGO,48.0,,,,,,,
2360,10,HOMOPOLIMERO,CGNA_PORT,"DE CAGUA,EDO.ARAGUA",40.0,,,,,,,
2364,10,HOMOPOLIMERO,CGNA_PORT,GUACHENE,119.5,,,,,,,
2377,10,HOMOPOLIMERO,CGNA_PORT,LUDWIGSHAFEN,1.375,,,,,,,
2381,10,HOMOPOLIMERO,CGNA_PORT,MIRANDA,27.0,,,,,,,
2384,10,HOMOPOLIMERO,CGNA_PORT,PALMIRA,1910.3999999999996,,,,,,,
2393,10,HOMOPOLIMERO,CGNA_PORT,RIONEGRO,170.0,,,,,,,
2408,10,HOMOPOLIMERO,CGNA_PORT,VILLA RICA,5.0,,,,,,,
2411,10,LDPE POLIFEN 641,CGNA_PORT,CARTAGENA,42.0,,,,,,,
2413,10,LDPE POLIFEN 641,CGNA_PORT,VILLA RICA,1.0,,,,,,,
2419,10,LLDPE INYECCION,CGNA_PORT,BOGOTA,0.025,,,,,,,
2421,10,MASTERB. BLANCO B.PE,CGNA_PORT,BOGOTA,0.275,,,,,,,
2422,10,MASTERB. BLANCO B.PE,CGNA_PORT,GUACHENE,10.0,,,,,,,
2429,10,MASTERB. BLANCO B.PE,CGNA_PORT,RIONEGRO,3.0,,,,,,,
2431,10,MASTERB. BLANCO B.PE,CGNA_PORT,TOCANCIPA,0.325,,,,,,,
2432,10,MASTERB. BLANCO B.PP,CGNA_PORT,CARTAGENA,1.0,,,,,,,
2437,10,MASTERB. NEGRO B.PE,CGNA_PORT,MOSQUERA,6.0,,,,,,,
2438,10,MASTERB. NEGRO B.PE,CGNA_PORT,PALMIRA,0.4,,,,,,,
2443,10,MASTERB. NEGRO B.PP,CGNA_PORT,GUACHENE,1.0,,,,,,,
2445,10,MASTERBATCH DE COLOR,CGNA_PORT,BOGOTA,1.0500000000000003,,,,,,,
2446,10,MASTERBATCH DE COLOR,CGNA_PORT,CALOTO,0.2,,,,,,,
2447,10,MASTERBATCH DE COLOR,CGNA_PORT,FUNZA,2.875,,,,,,,
2448,10,MASTERBATCH DE COLOR,CGNA_PORT,GUACHENE,0.3,,,,,,,
2455,10,MASTERBATCH DE COLOR,CGNA_PORT,TOCANCIPA,2.951999999999999,,,,,,,
2463,10,OTROS COMPUESTOS,CGNA_PORT,TOCANCIPA,0.04900000000000001,,,,,,,
2467,10,PP REF.FIBRA  VIDRIO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,1.225,,,,,,,
2470,10,RESINAS GRANULAR,CGNA_PORT,CARTAGENA,82.72200000000001,,,,,,,
2472,10,TERPOLIMEROS,CGNA_PORT,LUDWIGSHAFEN,1.375,,,,,,,
2473,11,ADITIVOS,CGNA_PORT,GUACHENE,1.0,,,,,,,
2479,11,ADITIVOS,CGNA_PORT,PALMIRA,0.672,,,,,,,
2481,11,ADITIVOS,CGNA_PORT,RIONEGRO,0.1,,,,,,,
2489,11,COPOLIMERO IMPACTO,CGNA_PORT,BOGOTA,65.0,,,,,,,
2495,11,COPOLIMERO IMPACTO,CGNA_PORT,CARTAGENA,45.849999999999994,,,,,,,
2508,11,COPOLIMERO IMPACTO,CGNA_PORT,LA VICTORIA,8.1,,,,,,,
2511,11,COPOLIMERO IMPACTO,CGNA_PORT,MIRANDA,54.0,,,,,,,
2512,11,COPOLIMERO IMPACTO,CGNA_PORT,"MOCOCHA, YUCATAN",48.0,,,,,,,
2514,11,COPOLIMERO IMPACTO,CGNA_PORT,PALMIRA,12.0,,,,,,,
2520,11,COPOLIMERO IMPACTO,CGNA_PORT,RIONEGRO,76.5,,,,,,,
2528,11,COPOLIMERO IMPACTO,CGNA_PORT,TOCANCIPA,136.0,,,,,,,
2533,11,COPOLIMERO IMPACTO,CGNA_PORT,VILLA RICA,56.0,,,,,,,
2535,11,COPOLIMERO IMPACTO,CGNA_PORT,YOKKAICHI,0.07500000000000001,,,,,,,
2536,11,COPOLIMERO IMPACTO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,8.0,,,,,,,
2539,11,COPOLIMERO RANDOM,CGNA_PORT,BOGOTA,23.0,,,,,,,
2541,11,COPOLIMERO RANDOM,CGNA_PORT,CALOTO,20.0,,,,,,,
2545,11,COPOLIMERO RANDOM,CGNA_PORT,CARTAGENA,103.0,,,,,,,
2553,11,COPOLIMERO RANDOM,CGNA_PORT,GUACHENE,7.0,,,,,,,
2565,11,COPOLIMERO RANDOM,CGNA_PORT,LUDWIGSHAFEN,1.375,,,,,,,
2567,11,COPOLIMERO RANDOM,CGNA_PORT,PALMIRA,59.4,,,,,,,
2575,11,COPOLIMERO RANDOM,CGNA_PORT,RIONEGRO,113.9,,,,,,,
2603,11,HOMOPOLIMERO,CGNA_PORT,BOGOTA,10.0,,,,,,,
2609,11,HOMOPOLIMERO,CGNA_PORT,CALOTO,20.0,,,,,,,
2613,11,HOMOPOLIMERO,CGNA_PORT,CARTAGENA,613.6,,,,,,,
2614,11,HOMOPOLIMERO,CGNA_PORT,CARTAGO,48.0,,,,,,,
2625,11,HOMOPOLIMERO,CGNA_PORT,GUACHENE,83.0,,,,,,,
2638,11,HOMOPOLIMERO,CGNA_PORT,LA VICTORIA,18.9,,,,,,,
2640,11,HOMOPOLIMERO,CGNA_PORT,LUDWIGSHAFEN,1.375,,,,,,,
2641,11,HOMOPOLIMERO,CGNA_PORT,MACOYA,22.0,,,,,,,
2643,11,HOMOPOLIMERO,CGNA_PORT,MIRANDA,54.0,,,,,,,
2648,11,HOMOPOLIMERO,CGNA_PORT,PALMIRA,2003.7859999999998,,,,,,,
2660,11,HOMOPOLIMERO,CGNA_PORT,RIONEGRO,46.5,,,,,,,
2679,11,HOMOPOLIMERO,CGNA_PORT,VILLA RICA,3.0,,,,,,,
2681,11,HOMOPOLIMERO,CGNA_PORT,WINTERTHUR,0.15,,,,,,,
2686,11,MASTERB. BLANCO B.PE,CGNA_PORT,BOGOTA,0.4,,,,,,,
2689,11,MASTERB. BLANCO B.PE,CGNA_PORT,GUACHENE,9.0,,,,,,,
2693,11,MASTERB. BLANCO B.PE,CGNA_PORT,PALMIRA,0.025,,,,,,,
2702,11,MASTERB. NEGRO B.PE,CGNA_PORT,FUNZA,17.0,,,,,,,
2708,11,MASTERBATCH DE COLOR,CGNA_PORT,BOGOTA,1.453,,,,,,,
2709,11,MASTERBATCH DE COLOR,CGNA_PORT,CALOTO,0.594,,,,,,,
2712,11,MASTERBATCH DE COLOR,CGNA_PORT,GUACHENE,0.5,,,,,,,
2717,11,MASTERBATCH DE COLOR,CGNA_PORT,RIONEGRO,0.10099999999999999,,,,,,,
2722,11,OTROS COMPUESTOS,CGNA_PORT,LA VICTORIA,0.1,,,,,,,
2726,11,OTROS COMPUESTOS,CGNA_PORT,PUERTO TEJADA,0.01,,,,,,,
2729,11,OTROS COMPUESTOS,CGNA_PORT,TOCANCIPA,0.001,,,,,,,
2731,11,PP REF.FIBRA  VIDRIO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,0.6,,,,,,,
2732,11,RESINAS GRANULAR,CGNA_PORT,CARTAGENA,45.994,,,,,,,
2735,11,TERPOLIMEROS,CGNA_PORT,LUDWIGSHAFEN,1.375,,,,,,,
2736,12,ADITIVOS,CGNA_PORT,GUACHENE,0.2,,,,,,,
2740,12,ADITIVOS,CGNA_PORT,PALMIRA,0.15,,,,,,,
2741,12,ADITIVOS,CGNA_PORT,RIONEGRO,0.3,,,,,,,
2748,12,COPOLIMERO IMPACTO,CGNA_PORT,BOGOTA,36.0,,,,,,,
2755,12,COPOLIMERO IMPACTO,CGNA_PORT,CARTAGENA,23.849999999999998,,,,,,,
2779,12,COPOLIMERO IMPACTO,CGNA_PORT,MIRANDA,27.0,,,,,,,
2793,12,COPOLIMERO IMPACTO,CGNA_PORT,RIONEGRO,25.5,,,,,,,
2801,12,COPOLIMERO IMPACTO,CGNA_PORT,TOCANCIPA,68.0,,,,,,,
2803,12,COPOLIMERO IMPACTO,CGNA_PORT,VILLA RICA,45.0,,,,,,,
2805,12,COPOLIMERO IMPACTO,CGNA_PORT,ZIPAQUIRA,10.0,,,,,,,
2806,12,COPOLIMERO IMPACTO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,6.7,,,,,,,
2810,12,COPOLIMERO RANDOM,CGNA_PORT,CALOTO,20.0,,,,,,,
2813,12,COPOLIMERO RANDOM,CGNA_PORT,CARTAGENA,47.95,,,,,,,
2832,12,COPOLIMERO RANDOM,CGNA_PORT,PALMIRA,36.4,,,,,,,
2837,12,COPOLIMERO RANDOM,CGNA_PORT,RIONEGRO,85.0,,,,,,,
2864,12,HOMOPOLIMERO,CGNA_PORT,BOGOTA,15.0,,,,,,,
2870,12,HOMOPOLIMERO,CGNA_PORT,CALOTO,10.1,,,,,,,
2873,12,HOMOPOLIMERO,CGNA_PORT,CARTAGENA,643.2,,,,,,,
2874,12,HOMOPOLIMERO,CGNA_PORT,CARTAGO,48.0,,,,,,,
2879,12,HOMOPOLIMERO,CGNA_PORT,"CIUDAD HABANA, CUBA",25.0,,,,,,,
2888,12,HOMOPOLIMERO,CGNA_PORT,GUACHENE,102.0,,,,,,,
2903,12,HOMOPOLIMERO,CGNA_PORT,MIRANDA,27.0,,,,,,,
2905,12,HOMOPOLIMERO,CGNA_PORT,PALMIRA,2162.4,,,,,,,
2917,12,HOMOPOLIMERO,CGNA_PORT,RIONEGRO,25.5,,,,,,,
2932,12,HOMOPOLIMERO,CGNA_PORT,VILLA RICA,3.0,,,,,,,
2935,12,LDPE POLIFEN 641,CGNA_PORT,CARTAGENA,0.625,,,,,,,
2936,12,LDPE USO GENERAL,CGNA_PORT,CARTAGENA,0.26799999999999996,,,,,,,
2944,12,MASTERB. BLANCO B.PE,CGNA_PORT,BOGOTA,0.1,,,,,,,
2946,12,MASTERB. BLANCO B.PE,CGNA_PORT,GUACHENE,10.0,,,,,,,
2950,12,MASTERB. BLANCO B.PE,CGNA_PORT,PALMIRA,0.025,,,,,,,
2952,12,MASTERB. BLANCO B.PE,CGNA_PORT,RIONEGRO,2.0,,,,,,,
2954,12,MASTERB. BLANCO B.PE,CGNA_PORT,VILLA RICA,2.0,,,,,,,
2955,12,MASTERB. BLANCO B.PP,CGNA_PORT,PALMIRA,9.0,,,,,,,
2957,12,MASTERB. NEGRO B.PE,CGNA_PORT,BOGOTA,0.025,,,,,,,
2960,12,MASTERB. NEGRO B.PE,CGNA_PORT,MOSQUERA,2.525,,,,,,,
2962,12,MASTERBATCH DE COLOR,CGNA_PORT,BOGOTA,0.8560000000000001,,,,,,,
2963,12,MASTERBATCH DE COLOR,CGNA_PORT,CALOTO,0.5,,,,,,,
2968,12,MASTERBATCH DE COLOR,CGNA_PORT,RIONEGRO,0.2,,,,,,,
2970,12,MASTERBATCH DE COLOR,CGNA_PORT,TOCANCIPA,0.625,,,,,,,
2973,12,OTROS COMPUESTOS,CGNA_PORT,CARTAGENA,0.005,,,,,,,
2976,12,OTROS COMPUESTOS,CGNA_PORT,TOCANCIPA,0.006,,,,,,,
2977,12,OTROS COMPUESTOS,CGNA_PORT,VILLA RICA,0.005,,,,,,,
2979,12,PP REF.FIBRA  VIDRIO,CGNA_PORT,ZONA FRANCA RIONEGRO ANTIOQUIA,1.6,,,,,,,
2981,12,RESINAS GRANULAR,CGNA_PORT,CARTAGENA,219.269,,,,,,,
2982,12,TERPOLIMEROS,CGNA_PORT,CARTAGENA,0.25,,,,,,,
